coach,n_decisions,shrinkage_weight,last_season,punt_observed,punt_expected,punt_shrunk,field_goal_observed,field_goal_expected,field_goal_shrunk,go_for_it_observed,go_for_it_expected,go_for_it_shrunk,n_go_for_it_attempts,n_conversions,conversion_rate
Brian Daboll,536,0.9816849816849816,2025,0.5354477611940298,0.5290529,0.5353306394356947,0.21082089552238806,0.21317251,0.21086396538949273,0.2537313432835821,0.2577746,0.25380539544772757,136,68,0.5
Brian Flores,344,0.9717514124293786,2021,0.5784883720930233,0.5781891,0.5784799173726874,0.2558139534883721,0.24728811,0.2555731103918647,0.16569767441860464,0.17452282,0.1659469722354479,57,32,0.5614035087719298
Brian Schottenheimer,109,0.9159663865546218,2025,0.3486238532110092,0.40545923,0.3533999348888879,0.3394495412844037,0.32104948,0.33790331778406096,0.3119266055045872,0.27349132,0.30869674983144807,34,22,0.6470588235294118
Bruce Arians,889,0.9888765294771968,2021,0.5984251968503937,0.5913223,0.5983461880180011,0.29021372328458944,0.28562003,0.2901626255143604,0.11136107986501688,0.12305762,0.11149118597038066,99,55,0.5555555555555556
Chan Gailey,329,0.9705014749262537,2012,0.6413373860182371,0.6378086,0.641233292652794,0.1945288753799392,0.21186152,0.195040162861523,0.1641337386018237,0.15032987,0.16372654492524522,54,25,0.46296296296296297
Chip Kelly,475,0.979381443298969,2016,0.6505263157894737,0.6415029,0.6503402663260393,0.22105263157894736,0.22896057,0.22121568193140717,0.12842105263157894,0.12953651,0.12844405174255372,61,34,0.5573770491803278
Chris Tabor,61,0.8591549295774648,2023,0.4918032786885246,0.5093416,0.4942734644446575,0.14754098360655737,0.18454646,0.15275302193534207,0.36065573770491804,0.30611202,0.35297352411377597,22,8,0.36363636363636365
Chuck Pagano,685,0.9856115107913669,2017,0.5912408759124088,0.59064436,0.5912322929437213,0.2875912408759124,0.2788462,0.2874654130112353,0.12116788321167883,0.13050939,0.12130229340182791,83,40,0.4819277108433735
Dan Campbell,576,0.9829351535836177,2025,0.4461805555555556,0.47140837,0.4466110642859554,0.2309027777777778,0.26444197,0.23147511889096417,0.3229166666666667,0.26414967,0.32191381682308057,186,105,0.5645161290322581
Dan Quinn,776,0.9872773536895675,2025,0.47809278350515466,0.49329183,0.4782861555350646,0.3170103092783505,0.3099118,0.31691999729656384,0.20489690721649484,0.19679637,0.20479384697878936,159,94,0.5911949685534591
Darrell Bevell,54,0.84375,2021,0.5370370370370371,0.53444695,0.5366323366761208,0.24074074074074073,0.20345654,0.23491508373990655,0.2222222222222222,0.26209646,0.22845257259905338,12,7,0.5833333333333334
Dave Canales,243,0.9604743083003953,2025,0.5020576131687243,0.504794,0.5021657708134105,0.205761316872428,0.20846932,0.20586835242542825,0.29218106995884774,0.28673664,0.29196587499422516,71,41,0.5774647887323944
David Culley,124,0.9253731343283582,2021,0.6290322580645161,0.6020921,0.6270217975573753,0.20161290322580644,0.19096725,0.20081845126045283,0.1693548387096774,0.20694076,0.17215975785433354,21,9,0.42857142857142855
DeMeco Ryans,424,0.9769585253456221,2025,0.5448113207547169,0.5271803,0.5444050763609223,0.30660377358490565,0.2877103,0.30616844030019874,0.14858490566037735,0.18510945,0.14942648505560263,63,32,0.5079365079365079
Dennis Allen,618,0.9840764331210191,2024,0.6067961165048543,0.59476024,0.6066044624064378,0.2524271844660194,0.24361284,0.2522868286747082,0.1407766990291262,0.16162688,0.14110870820701502,87,41,0.47126436781609193
Dirk Koetter,284,0.9659863945578231,2018,0.602112676056338,0.58409697,0.601499896876666,0.29225352112676056,0.29283756,0.2922733864005731,0.1056338028169014,0.12306541,0.10622671469539201,30,17,0.5666666666666667
Doug Marrone,775,0.9872611464968153,2020,0.6129032258064516,0.610885,0.6128775162302005,0.24645161290322581,0.23949936,0.24636304917608856,0.1406451612903226,0.14961566,0.14075943516318207,109,48,0.44036697247706424
Doug Pederson,965,0.9897435897435898,2024,0.5170984455958549,0.53483844,0.5172803942362467,0.25181347150259065,0.2677382,0.2519768019822927,0.23108808290155441,0.19742331,0.23074280317013082,223,112,0.5022421524663677
Eric Mangini,106,0.9137931034482759,2010,0.6981132075471698,0.70862484,0.6990193827398892,0.2358490566037736,0.21634789,0.2341679213889714,0.0660377358490566,0.07502719,0.06681268880593366,7,5,0.7142857142857143
Eric Studesville,30,0.75,2010,0.6333333333333333,0.6226322,0.6306580513715744,0.23333333333333334,0.21310839,0.2282770976424217,0.13333333333333333,0.16425937,0.14106484353542328,4,1,0.25
Frank Reich,582,0.9831081081081081,2023,0.5120274914089347,0.52014095,0.5121645430052602,0.26288659793814434,0.26850718,0.26298154024658976,0.22508591065292097,0.21135186,0.22485391649644118,131,74,0.5648854961832062
Freddie Kitchens,103,0.911504424778761,2019,0.5631067961165048,0.5666233,0.5634179885408519,0.27184466019417475,0.27456155,0.2720850932914599,0.1650485436893204,0.15881518,0.16449691816768816,17,7,0.4117647058823529
Gary Kubiak,744,0.986737400530504,2016,0.6075268817204301,0.6015798,0.6074480077632226,0.27553763440860213,0.27177566,0.27548774088725486,0.11693548387096774,0.12664457,0.11706425154715064,87,38,0.4367816091954023
Giff Smith,29,0.7435897435897436,2023,0.4482758620689655,0.4645314,0.45244394663052684,0.3793103448275862,0.32865992,0.36632305689347094,0.1724137931034483,0.20680861,0.18123297737194943,5,3,0.6
Greg Schiano,249,0.9613899613899614,2013,0.6024096385542169,0.61793876,0.6030092184147781,0.24497991967871485,0.23781182,0.24470315902389614,0.15261044176706828,0.14424948,0.15228762486266356,38,15,0.39473684210526316
Gregg Williams,40,0.8,2018,0.575,0.5953908,0.5790781593322754,0.175,0.22097096,0.18419419169425963,0.25,0.18363824,0.23672764897346496,10,5,0.5
Gus Bradley,475,0.979381443298969,2016,0.6294736842105263,0.64288986,0.6297503063359211,0.20421052631578948,0.19522937,0.20402534776127218,0.16631578947368422,0.16188082,0.16622434682452802,79,35,0.4430379746835443
Hue Jackson,415,0.9764705882352941,2018,0.6409638554216868,0.6439205,0.6410334230871761,0.20481927710843373,0.20733602,0.20487849466940936,0.15421686746987953,0.14874357,0.1540880839964923,64,35,0.546875
Jack Del Rio,531,0.9815157116451017,2017,0.615819209039548,0.6379461,0.6162282094056417,0.224105461393597,0.22197543,0.22406608929475444,0.160075329566855,0.14007838,0.15970570019785446,85,38,0.4470588235294118
Jason Garrett,990,0.99,2019,0.5777777777777777,0.5805775,0.5778057749271392,0.29393939393939394,0.2805965,0.2938059649467468,0.12828282828282828,0.13882607,0.12838826072216034,127,73,0.5748031496062992
Jay Gruden,572,0.9828178694158075,2019,0.5891608391608392,0.5903669,0.5891815618551064,0.25874125874125875,0.26448247,0.25883990495475295,0.1520979020979021,0.14515057,0.15197853216600582,87,44,0.5057471264367817
Jay Rosburg,15,0.6,2022,0.6666666666666666,0.6651441,0.6660576343536377,0.13333333333333333,0.13849132,0.13539652705192567,0.2,0.19636461,0.19854584455490112,3,2,0.6666666666666666
Jeff Fisher,706,0.9860335195530726,2016,0.6430594900849859,0.66330844,0.643342296670935,0.21954674220963172,0.20478064,0.21934051170695426,0.13739376770538245,0.13191094,0.1373171918302275,97,42,0.4329896907216495
Jeff Saturday,61,0.8591549295774648,2022,0.4098360655737705,0.41653082,0.41077898841508675,0.3114754098360656,0.28934863,0.3083589622672175,0.2786885245901639,0.29412052,0.2808620451201855,17,10,0.5882352941176471
Jerod Mayo,121,0.9236641221374046,2024,0.5454545454545454,0.54116553,0.5451271397466878,0.256198347107438,0.24805498,0.25557671612455646,0.19834710743801653,0.21077952,0.1992961464037422,24,14,0.5833333333333334
Jim Caldwell,649,0.9848254931714719,2017,0.6117103235747303,0.6196417,0.6118306786228926,0.275808936825886,0.26578873,0.2756568851890622,0.11248073959938366,0.114569545,0.11251243618804514,73,33,0.4520547945205479
Jim Harbaugh,759,0.9869960988296489,2025,0.5573122529644269,0.5647728,0.5574092689819237,0.31488801054018445,0.29741466,0.3146607888225461,0.12779973649538867,0.13781258,0.12792994258307666,97,59,0.6082474226804123
Jim Schwartz,456,0.9785407725321889,2013,0.6359649122807017,0.628931,0.6358139696550984,0.23684210526315788,0.24295476,0.236973278128538,0.12719298245614036,0.12811427,0.12721275253613107,58,28,0.4827586206896552
Jim Tomsula,133,0.9300699300699301,2015,0.6541353383458647,0.6372946,0.6529576636694528,0.20300751879699247,0.20316002,0.2030181830579584,0.14285714285714285,0.15954544,0.1440241563987065,19,9,0.47368421052631576
Joe Judge,238,0.9596774193548387,2021,0.5294117647058824,0.51370966,0.5287786154977737,0.2605042016806723,0.2437038,0.2598267660265969,0.21008403361344538,0.24258657,0.211394619677336,50,26,0.52
Joe Philbin,465,0.9789473684210527,2018,0.6,0.6022834,0.6000480719616538,0.24731182795698925,0.24178718,0.24719551958535846,0.15268817204301074,0.15592942,0.15275640876669633,71,26,0.36619718309859156
Joe Vitt,62,0.8611111111111112,2012,0.6774193548387096,0.70216435,0.6808561599916882,0.1774193548387097,0.16024461,0.17503397415081662,0.14516129032258066,0.13759097,0.14410985757907233,9,5,0.5555555555555556
John Fox,926,0.9893162393162394,2017,0.6382289416846653,0.6338861,0.6381825437912575,0.23974082073434125,0.23245493,0.23966297997623429,0.12203023758099352,0.13365896,0.12215447607330787,113,52,0.46017699115044247
John Harbaugh,1909,0.9947889525794684,2025,0.5536930330015715,0.5731674,0.553794514766393,0.28391828182294393,0.28316534,0.2839143581847588,0.16238868517548455,0.14366734,0.16229112735945087,310,168,0.5419354838709678
Jon Gruden,333,0.9708454810495627,2021,0.5255255255255256,0.5097784,0.5250664250843726,0.2822822822822823,0.2587524,0.2815962800479144,0.1921921921921922,0.23146918,0.1933372939988406,64,37,0.578125
Jonathan Gannon,331,0.9706744868035191,2025,0.48942598187311176,0.51723504,0.4902414967936854,0.2719033232628399,0.25810865,0.27149878726327176,0.23867069486404835,0.2246563,0.23825971550605865,79,35,0.4430379746835443
Josh McDaniels,255,0.9622641509433962,2023,0.5490196078431373,0.5307183,0.5483289934554191,0.2549019607843137,0.23676476,0.2542175380688793,0.19607843137254902,0.23251691,0.19745346847570167,50,26,0.52
Kellen Moore,127,0.927007299270073,2025,0.4330708661417323,0.4291856,0.4327872700064722,0.2992125984251969,0.28993934,0.29853571853498473,0.2677165354330709,0.28087506,0.2686770114585431,34,14,0.4117647058823529
Ken Whisenhunt,614,0.9839743589743589,2015,0.6791530944625407,0.6648447,0.6789237931370735,0.1791530944625407,0.18302667,0.1792151710161796,0.14169381107491857,0.15212864,0.1418610358467469,87,39,0.4482758620689655
Kevin O'Connell,461,0.9787685774946921,2025,0.5249457700650759,0.5218945,0.5248809875702909,0.28633405639913234,0.2742918,0.286078382449545,0.18872017353579176,0.2038136,0.1890406283983,87,47,0.5402298850574713
Kevin Stefanski,794,0.9875621890547264,2025,0.5340050377833753,0.5336059,0.5340000730545366,0.20654911838790932,0.23339748,0.20688305328141396,0.2594458438287154,0.23299664,0.25911687366404934,206,99,0.48058252427184467
Kliff Kingsbury,463,0.9788583509513742,2022,0.4946004319654428,0.5328859,0.4954098500862686,0.2526997840172786,0.26127493,0.2528810768248415,0.2526997840172786,0.20583914,0.2517090727738548,117,66,0.5641025641025641
Kyle Shanahan,967,0.9897645854657113,2025,0.531540847983454,0.51721257,0.5313941921157993,0.31437435367114785,0.29885364,0.31421549268974375,0.15408479834539815,0.1839338,0.15439031519445695,149,71,0.47651006711409394
Leslie Frazier,383,0.9745547073791349,2013,0.6109660574412533,0.618959,0.6111694404490425,0.25326370757180156,0.2526723,0.2532486594056962,0.13577023498694518,0.12836868,0.13558190014526136,52,26,0.5
Liam Coen,117,0.9212598425196851,2025,0.49572649572649574,0.4831196,0.4947338273206095,0.2564102564102564,0.26984194,0.25746786922920406,0.24786324786324787,0.24703845,0.2477983034501864,29,16,0.5517241379310345
Lovie Smith,698,0.9858757062146892,2022,0.6346704871060171,0.6283424,0.6345811072042432,0.2521489971346705,0.23729677,0.25193921998564134,0.11318051575931232,0.1343608,0.11347967238917861,79,33,0.4177215189873418
Marc Trestman,203,0.9530516431924883,2014,0.625615763546798,0.6272846,0.6256941120389482,0.18226600985221675,0.20427214,0.183299161318882,0.1921182266009852,0.16844334,0.19100672944050998,39,20,0.5128205128205128
Marvin Lewis,1029,0.9903753609239654,2018,0.6248785228377065,0.618841,0.6248204137868212,0.24295432458697766,0.25211746,0.24304251641006397,0.13216715257531583,0.12904154,0.1321370696596966,136,78,0.5735294117647058
Matt Eberflus,367,0.9734748010610079,2024,0.5286103542234333,0.52541506,0.5285255984855267,0.23160762942779292,0.24525693,0.23196967985649009,0.23978201634877383,0.229328,0.23950472165798317,88,44,0.5
Matt LaFleur,741,0.9866844207723036,2025,0.5182186234817814,0.5248148,0.5183064551867753,0.2631578947368421,0.28163797,0.26340396759830687,0.21862348178137653,0.19354726,0.2182895774133355,162,86,0.5308641975308642
Matt Nagy,477,0.9794661190965093,2021,0.549266247379455,0.537373,0.5490220329844732,0.2431865828092243,0.2589132,0.24350951107130892,0.20754716981132076,0.20371379,0.2074684556382393,99,46,0.46464646464646464
Matt Patricia,299,0.9676375404530745,2020,0.5785953177257525,0.57158685,0.5783685063852847,0.2709030100334448,0.25388592,0.2703522953014929,0.1505016722408027,0.17452724,0.1512791987954606,45,24,0.5333333333333333
Matt Rhule,266,0.9637681159420289,2022,0.4774436090225564,0.49120635,0.4779422589834186,0.2631578947368421,0.2570155,0.26293534407581104,0.2593984962406015,0.25177816,0.2591223969407704,69,32,0.463768115942029
Mel Tucker,40,0.8,2011,0.725,0.71334565,0.722669129371643,0.125,0.14712806,0.12942561209201814,0.15,0.13952634,0.1479052674770355,6,2,0.3333333333333333
Mike Macdonald,241,0.9601593625498008,2025,0.5560165975103735,0.53591526,0.5552157472329311,0.3153526970954357,0.2985224,0.31468216783971903,0.12863070539419086,0.16556239,0.13010208730203696,31,17,0.5483870967741935
Mike McCarthy,1559,0.9936265137029955,2024,0.5394483643361129,0.56364655,0.539602591172383,0.2841565105837075,0.27643943,0.28410732586570725,0.1763951250801796,0.159914,0.17629008286693737,275,143,0.52
Mike McCoy,402,0.9757281553398058,2016,0.5895522388059702,0.58255225,0.5893823362669899,0.3009950248756219,0.29026118,0.3007344946409892,0.10945273631840796,0.12718654,0.1098831683686636,44,21,0.4772727272727273
Mike McDaniel,457,0.9785867237687366,2025,0.487964989059081,0.5068664,0.4883697300957919,0.2713347921225383,0.26466587,0.2711919886907623,0.24070021881838075,0.22846773,0.2404382812134459,110,54,0.4909090909090909
Mike Mularkey,352,0.9723756906077348,2017,0.6193181818181818,0.6145396,0.6191861774381352,0.24147727272727273,0.24141861,0.24147565234761215,0.13920454545454544,0.14404176,0.13933817021425257,49,19,0.3877551020408163
Mike Munchak,341,0.9715099715099715,2013,0.6158357771260997,0.62562704,0.6161147305089184,0.25219941348973607,0.2564609,0.25232082350641233,0.13196480938416422,0.11791201,0.13156444471106568,45,25,0.5555555555555556
Mike Pettine,233,0.9588477366255144,2015,0.6137339055793991,0.6039621,0.613331774625268,0.2317596566523605,0.25937435,0.2328960637987396,0.15450643776824036,0.13666356,0.15377216280242545,36,14,0.3888888888888889
Mike Shanahan,464,0.9789029535864979,2013,0.603448275862069,0.60963166,0.6035787269535949,0.25862068965517243,0.26370895,0.25872803690061286,0.13793103448275862,0.12665942,0.13769323677453313,64,28,0.4375
Mike Singletary,119,0.9224806201550387,2010,0.6638655462184874,0.64288825,0.6622393990671912,0.20168067226890757,0.20742878,0.202126262261886,0.13445378151260504,0.14968291,0.1356343340504077,16,8,0.5
Mike Smith,531,0.9815157116451017,2014,0.60075329566855,0.5916912,0.6005857892045252,0.2711864406779661,0.27684093,0.2712909598006779,0.128060263653484,0.13146792,0.12812325182110898,68,32,0.47058823529411764
Mike Tomlin,1839,0.9945916711736074,2025,0.5774877650897227,0.56335133,0.5774113106173138,0.28602501359434473,0.29052868,0.28604937092944566,0.13648722131593258,0.14612006,0.1365393188561924,251,124,0.4940239043824701
Mike Vrabel,797,0.9876084262701363,2025,0.6035131744040151,0.607471,0.603562217958207,0.2258469259723965,0.2331925,0.22593794923732716,0.17063989962358847,0.1593365,0.17049983280446598,136,79,0.5808823529411765
Mike Zimmer,901,0.9890230515916575,2021,0.5826859045504994,0.5843516,0.5827041887949117,0.27192008879023305,0.27257177,0.271927242286904,0.1453940066592675,0.14307666,0.14536856924532274,131,61,0.46564885496183206
Nathaniel Hackett,136,0.9315068493150684,2022,0.6176470588235294,0.5918574,0.6158806420352361,0.22794117647058823,0.2138133,0.2269735140343235,0.15441176470588236,0.19432938,0.1571458480129503,21,10,0.47619047619047616
Nick Sirianni,616,0.9840255591054313,2025,0.5032467532467533,0.52406275,0.503579277200059,0.2597402597402597,0.2821731,0.2600986117752977,0.237012987012987,0.19376414,0.23632211078660556,146,93,0.636986301369863
Norv Turner,285,0.9661016949152542,2012,0.5649122807017544,0.5772545,0.5653306601411204,0.3192982456140351,0.3101177,0.3189870403984845,0.11578947368421053,0.11262779,0.11568229794502258,33,15,0.45454545454545453
Pat Shurmur,479,0.9795501022494888,2019,0.6137787056367432,0.61956614,0.6138970581300419,0.21085594989561587,0.21201518,0.21087965606911782,0.17536534446764093,0.16841868,0.17522328580084023,84,43,0.5119047619047619
Pete Carroll,1756,0.9943374858437146,2025,0.6036446469248291,0.59280425,0.6035832630413439,0.260250569476082,0.26775846,0.2602930830059613,0.13610478359908884,0.13943732,0.13612365412145078,239,121,0.5062761506276151
Raheem Morris,526,0.9813432835820896,2025,0.5057034220532319,0.5089572,0.5057641270000544,0.2889733840304182,0.29236543,0.2890366685034624,0.20532319391634982,0.19867735,0.20519920421847657,108,62,0.5740740740740741
Rex Ryan,831,0.9881093935790726,2016,0.6474127557160048,0.64089835,0.6473352954447198,0.2394705174488568,0.23552743,0.23942363170040915,0.11311672683513839,0.123574175,0.11324107223472754,94,41,0.43617021276595747
Rich Bisaccia,83,0.8924731182795699,2021,0.4819277108433735,0.4670217,0.4803249143785046,0.37349397590361444,0.34927744,0.37089004696056405,0.14457831325301204,0.18370081,0.14878503385410513,12,10,0.8333333333333334
Rob Chudzinski,129,0.9280575539568345,2013,0.5736434108527132,0.5875391,0.5746430990507277,0.18604651162790697,0.23072608,0.1892608689318458,0.24031007751937986,0.18173486,0.2360960330894525,31,14,0.45161290322580644
Robert Saleh,519,0.9810964083175804,2024,0.5549132947976878,0.5511854,0.5548428247466204,0.23314065510597304,0.22370943,0.2329623711582393,0.2119460500963391,0.22510518,0.21219480494019663,110,52,0.4727272727272727
Romeo Crennel,204,0.9532710280373832,2020,0.5637254901960784,0.5355851,0.5624105189448205,0.29411764705882354,0.3070017,0.2947197060718715,0.14215686274509803,0.15741321,0.1428697763759399,29,14,0.4827586206896552
Ron Rivera,1465,0.9932203389830508,2023,0.5890784982935153,0.58152896,0.5890273149942947,0.2546075085324232,0.2601647,0.25464518446033285,0.15631399317406144,0.15830632,0.1563275004443476,229,123,0.537117903930131
Sean McDermott,1009,0.9901864573110893,2025,0.5361744301288405,0.53387535,0.5361518679704002,0.27750247770069375,0.2923735,0.2776484151934735,0.1863230921704658,0.17375113,0.18619971668989316,188,105,0.5585106382978723
Sean McVay,1099,0.9909828674481514,2025,0.5295723384895359,0.5326509,0.5296000981782341,0.3002729754322111,0.2929483,0.30020692791349723,0.17015468607825296,0.17440076,0.17019297350517149,187,106,0.5668449197860963
Sean Payton,1505,0.9933993399339934,2025,0.5647840531561462,0.5702505,0.564820135387257,0.2757475083056478,0.2764809,0.27575234926179687,0.15946843853820597,0.15326853,0.1594275150558736,240,146,0.6083333333333333
Shane Steichen,361,0.9730458221024259,2025,0.46537396121883656,0.48663458,0.4659470237811621,0.29362880886426596,0.2816691,0.29330644501508735,0.2409972299168975,0.23169631,0.24074653120375067,87,51,0.5862068965517241
Steve Spagnuolo,314,0.9691358024691358,2017,0.6496815286624203,0.65126866,0.6497305142290798,0.2197452229299363,0.2172057,0.21966684269316403,0.1305732484076433,0.13152571,0.13060264537731808,41,17,0.4146341463414634
Steve Wilks,194,0.9509803921568627,2022,0.6855670103092784,0.67008775,0.6848082232709025,0.17525773195876287,0.1852866,0.17574934296163858,0.13917525773195877,0.14462565,0.139442433767459,27,13,0.48148148148148145
Todd Bowles,1006,0.9901574803149606,2025,0.5795228628230616,0.57408345,0.5794693252702398,0.2624254473161034,0.24454825,0.2622494906128392,0.15805168986083498,0.18136837,0.15828118470358096,159,83,0.5220125786163522
Todd Haley,231,0.9585062240663901,2011,0.658008658008658,0.66838795,0.6584393340027679,0.17316017316017315,0.1975526,0.1741723073221341,0.16883116883116883,0.13405938,0.16738835620187625,39,17,0.4358974358974359
Tom Cable,128,0.927536231884058,2010,0.5546875,0.5845868,0.556854115880054,0.2890625,0.27905887,0.28833759954010235,0.15625,0.13635436,0.1548082867394323,20,8,0.4
Tom Coughlin,685,0.9856115107913669,2015,0.6467153284671533,0.6344395,0.6465386982444379,0.24087591240875914,0.25088033,0.24101986087483468,0.11240875912408758,0.11468013,0.11244144066632222,77,32,0.4155844155844156
Tony Sparano,334,0.9709302325581395,2014,0.6347305389221557,0.6240339,0.6344195909278337,0.25449101796407186,0.24194592,0.25412633495275366,0.11077844311377245,0.1340202,0.1114540754189325,37,16,0.43243243243243246
Urban Meyer,94,0.9038461538461539,2021,0.5957446808510638,0.571249,0.5933893277094914,0.1595744680851064,0.16109101,0.15972028987912032,0.24468085106382978,0.26766,0.2468903838441922,23,12,0.5217391304347826
Vance Joseph,243,0.9604743083003953,2018,0.6049382716049383,0.61027724,0.6051492978461646,0.2139917695473251,0.21462882,0.21401694923521503,0.18106995884773663,0.17509395,0.1808337529186204,44,22,0.5
Vic Fangio,339,0.9713467048710601,2021,0.5486725663716814,0.54616094,0.5486005998955756,0.27728613569321536,0.24445882,0.2763455250543305,0.17404129793510326,0.20938025,0.17505387547706125,59,31,0.5254237288135594
Wade Phillips,78,0.8863636363636364,2013,0.6282051282051282,0.60333973,0.625379514965144,0.20512820512820512,0.22239837,0.2070907239209522,0.16666666666666666,0.17426185,0.16752975603396242,13,8,0.6153846153846154
Zac Taylor,821,0.9879663056558363,2025,0.5517661388550548,0.54735154,0.5517130149113716,0.269183922046285,0.25442615,0.26900633154649883,0.17904993909866018,0.1982223,0.17928065336281357,147,84,0.5714285714285714
